sample_id,block,patch,point,month,day,year,date,pvin,mbis,otub,bpro,pign,open,cvig,dcar,cmin,alec,dgib,ocon,gbla,ostr,aaeg,osyl,...18,...19,sum
1,8,c,1,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,4,0,3,1,2,11,0,0,0,0,3,0,0,0,24
2,8,c,2,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,0,0,0,0,1,42,0,0,0,0,9,0,0,0,52
3,8,c,3,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,5,1,1,1,1,22,0,0,0,0,7,0,0,0,38
4,8,w,1,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,3,0,0,0,1,24,0,0,0,0,2,0,0,5178,30
5,8,w,2,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,4,0,4,0,3,24,0,0,0,0,4,0,0,0,39
6,8,w,3,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,2,0,2,0,3,9,0,0,0,0,1,0,0,0,17
7,8,r,1,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,1,0,1,0,1,12,0,0,0,0,3,0,0,0,18
8,8,r,2,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,3,0,2,0,0,20,0,0,0,0,2,0,0,0,27
9,8,r,3,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,2,0,1,1,1,17,0,0,0,0,3,0,0,0,25
10,8,m,1,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,0,0,2,0,0,34,1,0,0,0,7,0,0,0,44
11,8,m,2,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,m,3,7,16,2024,2024-07-16T00:00:00Z,0,0,0,0,0,0,0,0,4,15,0,0,0,0,3,0,0,0,22
13,52,r,1,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,15,0,10,1,0,2,0,0,0,0,3,1,0,0,32
14,52,r,2,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,10,1,1,2,4,0,0,0,0,0,1,0,0,0,19
15,52,r,3,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,18,1,19,2,0,9,0,0,0,0,4,0,0,0,53
16,52,m,1,8,1,2024,2024-08-01T00:00:00Z,1,0,0,0,4,1,1,3,0,12,0,0,0,0,15,0,0,0,37
17,52,m,2,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,18,0,15,5,0,13,2,0,0,0,2,0,0,0,55
18,52,m,3,8,1,2024,2024-08-01T00:00:00Z,1,0,0,0,16,1,36,2,0,4,0,0,0,0,6,0,0,0,66
19,52,w,1,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,25,2,38,8,0,0,0,0,0,0,0,0,0,0,73
20,52,w,2,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,14,2,49,9,0,5,0,1,0,0,10,0,0,0,90
21,52,w,3,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,9,3,10,3,0,6,1,0,0,0,4,0,0,0,36
22,52,c,1,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,11,2,38,8,0,10,0,0,0,0,12,0,0,0,81
23,52,c,2,8,1,2024,2024-08-01T00:00:00Z,0,0,0,0,5,1,8,5,0,8,0,0,0,0,4,0,0,0,31
24,52,c,3,8,1,2024,2024-08-01T00:00:00Z,1,1,0,0,12,2,24,10,0,1,1,0,0,0,10,0,0,0,62
25,8,r,1,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,23
26,8,r,2,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,0,0,10,0,0,13,0,0,0,0,2,0,0,0,25
27,8,r,3,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,0,0,8,2,0,37,0,0,0,0,2,0,0,0,49
28,8,c,1,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,1,0,5,2,0,36,1,0,0,0,2,0,0,0,47
29,8,c,2,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,4,0,9,3,0,17,0,0,0,0,4,0,0,0,37
30,8,c,3,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,4,0,4,2,0,4,0,0,0,0,3,0,0,0,17
31,8,w,1,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,10,0,7,5,0,42,0,0,0,0,2,0,0,0,66
32,8,w,2,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,4,0,12,0,0,19,0,0,1,0,3,0,0,0,39
33,8,w,3,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,1,0,6,2,0,5,0,0,0,0,1,0,0,0,15
34,8,m,1,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,4,0,0,7,0,80,1,0,0,0,4,0,0,0,96
35,8,m,2,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,2,0,2,3,0,17,1,0,0,0,0,0,0,0,25
36,8,m,3,8,7,2024,2024-08-07T00:00:00Z,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
37,54,c,1,8,11,2024,2024-08-11T00:00:00Z,0,0,0,0,6,0,27,2,0,0,0,0,0,0,3,0,0,0,38
38,54,c,2,8,11,2024,2024-08-11T00:00:00Z,0,0,0,0,8,0,28,1,0,2,0,0,0,0,6,1,0,0,46
39,54,c,3,8,11,2024,2024-08-11T00:00:00Z,0,0,0,0,2,0,15,5,0,0,0,0,0,0,0,0,0,0,22
40,54,m,1,8,11,2024,2024-08-11T00:00:00Z,2,0,0,0,7,0,6,4,0,1,0,0,0,0,2,0,0,0,22
41,54,m,2,8,11,2024,2024-08-11T00:00:00Z,0,0,0,0,5,0,10,8,0,0,0,0,0,0,1,0,0,0,24
42,54,m,3,8,11,2024,2024-08-11T00:00:00Z,2,0,0,0,17,1,13,7,1,1,0,0,0,0,1,0,0,0,43
43,54,r,1,8,11,2024,2024-08-11T00:00:00Z,2,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,11
44,54,r,2,8,11,2024,2024-08-11T00:00:00Z,1,0,0,0,2,0,2,1,0,0,0,0,0,2,0,0,0,0,8
45,54,r,3,8,11,2024,2024-08-11T00:00:00Z,3,0,0,1,1,0,20,6,0,3,0,0,0,0,1,0,0,0,35
46,54,w,1,8,11,2024,2024-08-11T00:00:00Z,1,0,0,1,4,1,5,3,0,0,0,0,0,0,4,0,0,0,19
47,54,w,2,8,11,2024,2024-08-11T00:00:00Z,0,0,0,0,3,0,25,9,0,0,0,0,0,0,1,0,0,0,38
48,54,w,3,8,11,2024,2024-08-11T00:00:00Z,3,0,0,0,2,0,27,4,0,1,0,0,0,0,3,1,0,0,41
49,52,c,1,8,12,2024,2024-08-12T00:00:00Z,0,0,0,0,15,2,31,2,0,3,1,0,0,0,3,0,0,0,57
50,52,c,2,8,12,2024,2024-08-12T00:00:00Z,0,0,0,0,11,4,7,1,0,1,0,0,0,0,2,0,0,0,26
