sample_id,pvin,mbis,otub,bpro,pign,open,cvig,dcar,cmin,alec,ap*,dgib,mvul,ocon,gbla,ostr
1,,,,,4,,3,1,2,11,3,,,,,
2,,,,,,,,,1,42,9,,,,,
3,,,,,5,1,1,1,1,22,7,,,,,
4,,,,,3,,,,1,24,2,,,,,
5,,,,,4,,4,,3,24,4,,,,,
6,,,,,2,,2,,3,9,1,,,,,
7,,,,,1,,1,,1,12,3,,,,,
8,,,,,3,,2,,,20,2,,,,,
9,,,,,2,,1,1,1,17,3,,,,,
10,,,,,,,2,,,34,6,1,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,4,15,3,,,,,
13,,,,,15,,10,1,,2,4,,,,,
14,,,,,10,1,1,2,4,,1,,,,,
15,,,,,18,1,19,2,,9,4,,,,,
16,1,,,,4,1,1,3,,12,15,,,,,
17,,,,,18,,15,5,,13,2,2,,,,
18,1,,,,16,1,36,2,,4,6,,,,,
19,,,,,7,2,12,7,,,,,,,,
20,,,,,12,2,22,9,,5,10,,,1,,
21,,,,,9,3,10,3,,6,4,1,,,,
22,,,,,11,2,38,8,,10,12,,,,,
23,,,,,5,1,8,5,,8,3,,,,,
24,1,,,,12,,24,10,,1,10,1,,,,
25,,,,,,,5,,,18,2,,,,,
26,,,,,,,10,,,13,3,,,,,
27,,,,,,,8,2,,37,2,,,,,
28,,,,,1,,5,2,,36,2,1,,,,
29,,,,,4,,9,3,,17,4,,,,,
30,,,,,4,,4,2,,4,3,,,,,
31,,,,,10,,7,5,,42,5,,,,,
32,,,,,4,,12,,,19,3,,,,1,
33,,,,,1,,6,2,,5,2,,,,,
34,,,,,4,,,7,,80,4,1,,,,
35,,,,,2,,2,3,,17,1,1,,,,
36,,,,,,,,,,7,,,,,,
37,,,,,6,,27,2,,,3,,,,,
38,,,,,8,,28,1,,2,7,,,,,
39,,,,,2,,15,5,,,,,,,,
40,2,,,,7,,6,4,,1,2,,,,,
41,,,,,5,,10,8,,,1,,,,,
42,2,,,,17,1,13,7,1,1,1,,,,,
43,2,,,,2,,3,4,,,,,,,,
44,1,,,,2,,2,1,,,3,,,,,2
45,3,,,1,1,,20,6,,3,1,,,,,
46,1,,,1,4,1,5,3,,,4,,,,,
47,,,,,3,,25,9,,,1,,,,,
48,3,,,,2,,27,4,,1,5,,,,,
49,,,,,15,2,31,2,,3,3,1,,,,
50,,,,,11,4,7,1,,1,2,,,,,
51,,,,,20,6,21,8,,2,6,,,,,
52,,,,,15,3,24,10,,,18,,,,,
53,,,,1,18,1,27,7,,1,7,,,,,
54,,,,,9,1,8,3,,,2,,,,,
55,1,,,,13,,23,9,,4,10,,,,,
56,,,,1,4,3,12,8,,,13,,,,,
57,,,,3,11,,14,5,,2,6,,,,,
58,,,,,24,3,7,4,,3,3,,,,,
59,,,,1,17,24,20,8,,8,53,,,,,
60,,,,,10,6,25,6,,2,35,,,,,
61,,,,1,7,,16,5,,4,4,,,,,
62,,,,2,4,1,10,9,,14,1,,,,,
63,,,,,10,,19,4,,17,19,,,,,
64,,,,2,3,,7,2,,2,1,,,,,
65,1,,,,9,,5,6,,17,1,,,,,
66,,,,,7,,5,3,,,2,,,,,
67,5,,,2,6,2,6,3,,4,1,,,,,
68,1,,,,14,3,12,8,,,4,,,,,
69,1,5,,2,9,,15,4,,2,1,,,,,
70,,1,,,1,,11,3,,5,4,,,,,
71,2,1,,,12,3,7,9,,1,2,,,,,
72,3,,,1,12,2,19,7,1,5,4,,,,,1
73,2,,,,4,1,3,3,,1,3,,,,,
74,2,,,,5,1,18,3,,2,3,,,,,
75,,,,,5,,5,1,,1,,,,,,
76,,1,,,10,1,7,4,,2,3,,,,,
77,,1,,,11,5,26,5,,4,13,,,,,
78,,,,,6,,33,9,,1,22,,,,,
79,4,,,2,7,2,16,7,,,3,,,,,
80,3,,,1,6,5,11,6,,,3,,,,,
81,,,,,3,3,6,10,,,3,,,,,
82,,,,1,1,5,19,6,,,1,,,,,
83,2,,,2,4,7,1,2,,,2,,,,,
84,,,,1,6,6,10,9,,1,1,,,,,
85,,,,,3,2,16,9,,3,3,1,,,,
86,,1,,,4,,16,2,,5,8,,,,,
87,,,,,5,2,8,5,,15,5,,,,,
88,,1,,2,3,1,10,1,,4,,,,,,
89,,3,,,4,2,2,5,,3,,1,,,,
90,1,2,,,8,1,9,2,,1,2,,,,,
91,1,,,,1,,6,3,,4,1,,,,,
92,,,,1,1,1,9,3,,5,1,,,,,
93,,,,2,1,,,1,,3,2,,,,,
94,1,1,,1,3,,9,1,,2,,,,,,
95,,1,,,5,,4,7,,11,1,,,,,
96,,1,,2,6,,25,8,,7,2,,,,,
97,1,1,,,5,2,8,8,,,5,,,,,
98,,,,,8,,7,6,,,3,,,,,
99,,,,,3,,5,,,,2,,,,,
100,,,,,3,3,2,2,,,2,,,,,
101,,,,,18,2,4,1,,,1,,,,,
102,,,,,7,6,5,2,,,1,,,,,
103,,,,,3,,2,2,,3,2,,,,,
104,3,1,,,2,,,,,1,1,,,,,
