sample_id,block,patch,point,month,day
1,8,c,1,7,16
2,8,c,2,7,16
3,8,c,3,7,16
4,8,w,1,7,16
5,8,w,2,7,16
6,8,w,3,7,16
7,8,r,1,7,16
8,8,r,2,7,16
9,8,r,3,7,16
10,8,m,1,7,16
11,8,m,2,7,16
12,8,m,3,7,16
13,52,r,1,8,1
14,52,r,2,8,1
15,52,r,3,8,1
16,52,m,1,8,1
17,52,m,2,8,1
18,52,m,3,8,1
19,52,w,1,8,1
20,52,w,2,8,1
21,52,w,3,8,1
22,52,c,1,8,1
23,52,c,2,8,1
24,52,c,3,8,1
25,8,r,1,8,7
26,8,r,2,8,7
27,8,r,3,8,7
28,8,c,1,8,7
29,8,c,2,8,7
30,8,c,3,8,7
31,8,w,1,8,7
32,8,w,2,8,7
33,8,w,3,8,7
34,8,m,1,8,7
35,8,m,2,8,7
36,8,m,3,8,7
37,54,c,1,8,11
38,54,c,2,8,11
39,54,c,3,8,11
40,54,m,1,8,11
41,54,m,2,8,11
42,54,m,3,8,11
43,54,r,1,8,11
44,54,r,2,8,11
45,54,r,3,8,11
46,54,w,1,8,11
47,54,w,2,8,11
48,54,w,3,8,11
49,52,c,1,8,12
50,52,c,2,8,12
51,52,c,3,8,12
52,52,w,1,8,12
53,52,w,2,8,12
54,52,w,3,8,12
55,52,r,1,8,12
56,52,r,2,8,12
57,52,r,3,8,12
58,52,m,1,8,12
59,52,m,2,8,12
60,52,m,3,8,12
61,53n,c,1,8,15
62,53n,c,2,8,15
63,53n,c,3,8,15
64,53n,w,1,8,15
65,53n,w,2,8,15
66,53n,w,3,8,15
67,53n,r,1,8,15
68,53n,r,2,8,15
69,53n,r,3,8,15
70,53n,m,1,8,15
71,53n,m,2,8,15
72,53n,m,3,8,15
73,52,r,1,8,16
74,52,r,2,8,16
75,52,r,3,8,16
76,52,m,1,8,16
77,52,m,2,8,16
78,52,m,3,8,16
79,52,w,1,8,16
80,52,w,2,8,16
81,52,w,3,8,16
82,52,c,1,8,16
83,52,c,2,8,16
84,52,c,3,8,16
85,53n,m,1,8,19
86,53n,m,2,8,19
87,53n,m,3,8,19
88,53n,r,1,8,19
89,53n,r,2,8,19
90,53n,r,3,8,19
91,53n,w,1,8,19
92,53n,w,2,8,19
93,53n,w,3,8,19
94,53n,c,1,8,19
95,53n,c,2,8,19
96,53n,c,3,8,19
97,52,w,1,8,20
98,52,w,2,8,20
99,52,w,3,8,20
100,52,c,1,8,20
101,52,c,2,8,20
102,52,c,3,8,20
103,52,r,1,8,20
104,52,r,2,8,20
105,52,r,3,8,20
106,52,m,1,8,20
107,52,m,2,8,20
108,52,m,3,8,20
109,54,w,1,8,20
110,54,w,2,8,20
111,54,w,3,8,20
112,54,r,1,8,20
113,54,r,2,8,20
114,54,r,3,8,20
115,54,m,1,8,20
116,54,m,2,8,20
117,54,m,3,8,20
118,54,c,1,8,20
119,54,c,2,8,20
120,54,c,3,8,20
121,8,m,1,8,21
122,8,m,2,8,21
123,8,m,3,8,21
124,8,r,1,8,21
125,8,r,2,8,21
126,8,r,3,8,21
127,8,c,1,8,21
128,8,c,2,8,21
129,8,c,3,8,21
130,8,w,1,8,21
131,8,w,2,8,21
132,8,w,3,8,21
133,53n,c,1,8,21
134,53n,c,2,8,21
135,53n,c,3,8,21
136,53n,w,1,8,21
137,53n,w,2,8,21
138,53n,w,3,8,21
139,53n,r,1,8,21
140,53n,r,2,8,21
141,53n,r,3,8,21
142,53n,m,1,8,21
143,53n,m,2,8,21
144,53n,m,3,8,21
145,54,w,1,8,22
146,54,w,2,8,22
147,54,w,3,8,22
148,54,r,1,8,22
149,54,r,2,8,22
150,54,r,3,8,22
151,54,c,1,8,22
152,54,c,2,8,22
153,54,c,3,8,22
154,54,m,1,8,22
155,54,m,2,8,22
156,54,m,3,8,22
157,8,r,1,8,22
158,8,r,2,8,22
159,8,r,3,8,22
160,8,m,1,8,22
161,8,m,2,8,22
162,8,m,3,8,22
163,8,w,1,8,22
164,8,w,2,8,22
165,8,w,3,8,22
166,8,c,1,8,22
167,8,c,2,8,22
168,8,c,3,8,22
169,53n,c,1,8,23
170,53n,c,2,8,23
171,53n,c,3,8,23
172,53n,w,1,8,23
173,53n,w,2,8,23
174,53n,w,3,8,23
175,53n,r,1,8,23
176,53n,r,2,8,23
177,53n,r,3,8,23
178,53n,m,1,8,23
179,53n,m,2,8,23
180,53n,m,3,8,23
181,54,c,1,8,25
182,54,c,2,8,25
183,54,c,3,8,25
184,54,m,1,8,25
185,54,m,2,8,25
186,54,m,3,8,25
187,54,r,1,8,25
188,54,r,2,8,25
189,54,r,3,8,25
190,54,w,1,8,25
191,54,w,2,8,25
192,54,w,3,8,25
