  sp_code,family,genus,species,subspecies,notes,ordway,srs,Guild
abic,Scarabaeidae,Aphodius,bicolor,,,y,,d
acam,Scarabaeidae,Aphodius,campestris,,,y,,d
acra,Scarabaeidae,Aphodius,crassulus,,,y,,d
acyl,Scarabaeidae,Ataenius,cylindrus,,,y,,d
alec,Scarabaeidae,Ateuchus,lecontei,,,y,y,t
aliv,Scarabaeidae,Aphodius,lividus,,,y,,
arub,Scarabaeidae,Aphodius,rubeolus,,,y,,
astu,Scarabaeidae,Aphodius,stupidus,,,y,,
bdep,Scarabaeidae,Boreocanthon,depressipennis,,,y,,
bfor,Scarabaeidae,Blackburneus,fordi,,,y,,
bpro,Scarabaeidae,Boreocanthon,probus,,,y,y,r
cmin,Scarabaeidae,Copris,minutus,,,y,y,t
cvig,Scarabaeidae,Canthon,vigilans,,,y,y,r
dcar,Scarabaeidae,Dichotomius,carolinus,,,y,y,t
dgib,Scarabaeidae,Deltochilum,gibbosum,gibbosum,,y,y,r
gbla,Scarabaeidae,Geotrupes,blackburnii,blackburnii,,y,y,t
gvir,Scarabaeidae,Glaphyrocanthon,viridis,viridis,,y,,
hspp,Histeridae,unknown,unknown,,,y,,
mbis,Scarabaeidae,Melanocanthon,bispinatus,,,y,y,r
mpun,Scarabaeidae,Melanocanthon,punctaticollis,,,y,,
oaci,Scarabaeidae,Onthophagus,aciculatulus,,,y,,
ocon,Scarabaeidae,Onthophagus,concinnus,,,y,y,t
ohec,Scarabaeidae,Onthophagus,hecate,,,y,,
ookl,Scarabaeidae,Onthophagus,oklahomensis,,,y,,
open,Scarabaeidae,Onthophagus,pennsylvanicus,,,y,y,t
oflo,Scarabaeidae,Onthophagus,striatulus,floridanus,,y,,
otub,Scarabaeidae,Onthophagus,tuberculifrons,,,y,y,t
pign,Scarabaeidae,Phanaeus,igneus,floridanus,,y,y,t
pper,Scarabaeidae,Pseudocanthon,perplexus,,,y,,
ppro,Scarabaeidae,Peltotrupes,profundus,,,y,,
pvin,Scarabaeidae,Phanaeus,vindex,,,n,y,t
dgaz,Scarabaeidae,Digitonthophagous,gazella,,,n,y,t
trog,Trogidae,Trox,unknown,,,n,y,
stap,Staphylinidae,unknown,unknown,,,n,y,
mvul,Scarabaeidae,Melanocanthon,vulturnatus,,,n,y,r
hist,histeridae,saprinus,unknown,,,n,y,
ostr,Scarabaeidae,Onthophagus,striatulus,striatulus,,n,y,t
aaeg,Scarabaeidae,Aphodius,Alloblackburneus,aegrotus,,n,y,d
osyl,Scarabaeidae,Aphodius,oximus,sylvestris,,n,y,d
