sample_id,sp_code,weight
1,cvig,0.162
2,cvig,0.177
3,cvig,0.092
4,cvig,0.195
5,cvig,0.175
6,cvig,0.11
7,cvig,0.111
8,cvig,0.199
9,cvig,0.108
10,cvig,0.068
11,cvig,0.198
12,cvig,0.145
13,cvig,0.209
14,cvig,0.166
15,cvig,0.114
16,alec,0.029
17,alec,0.026
18,alec,0.022
19,alec,0.025
20,alec,0.03
21,pign,0.24
22,pign,0.272
23,pign,0.264
24,pign,0.32
25,pign,0.283
26,pign,0.233
27,pign,0.274
28,pign,0.257
29,pign,0.228
30,pign,0.273
31,pign,0.183
32,pign,0.218
33,pign,0.104
34,pign,0.194
35,pign,0.296
36,aaeg,0.017
37,dcar,0.353
38,dcar,0.521
39,dcar,0.547
40,dcar,0.984
41,dcar,0.459
42,dcar,0.611
43,dcar,0.72
44,dcar,0.49
45,dcar,0.573
46,dcar,0.766
47,dcar,0.65
48,dcar,0.428
49,dcar,0.887
50,dcar,0.601
51,dcar,0.257
52,open,0.011
53,open,0.012
54,open,0.011
55,pvin,0.213
56,pvin,0.221
57,pvin,0.207
58,pvin,0.345
59,pvin,0.158
60,pvin,0.233
61,pvin,0.199
62,pvin,0.244
63,pvin,0.303
64,pvin,0.225
65,pvin,0.261
66,pvin,0.211
67,pvin,0.212
68,pvin,0.2
69,pvin,0.187
70,mbis,0.025
71,mbis,0.01
72,mbis,0.027
73,mbis,0.039
74,mbis,0.031
75,mbis,0.022
76,mbis,0.038
77,mbis,0.027
78,mbis,0.019
79,mbis,0.034
80,mbis,0.007
81,mbis,0.028
82,mbis,0.026
83,mbis,0.031
84,mbis,0.017
85,bpro,0.08
86,bpro,0.044
87,bpro,0.038
88,bpro,0.034
89,bpro,0.049
90,bpro,0.039
91,bpro,0.025
92,bpro,0.036
93,bpro,0.034
94,bpro,0.038
95,bpro,0.025
96,bpro,0.05
97,bpro,0.036
98,bpro,0.045
99,bpro,0.037
100,ocon,0.016
101,ocon,0.014
102,ocon,0.015
103,ocon,0.014
104,ocon,0.016
105,ocon,0.01
106,ocon,0.008
107,ocon,0.01
108,ocon,0.013
109,ocon,0.012
110,ocon,0.009
111,ocon,0.01
112,ocon,0.012
113,ocon,0.015
114,ocon,0.014
